reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
9,16,4700,48,2,1,1002.181,197,4,,,,,,,,,,,,,,,,,
15,79,28320,67,13,3,5973.082,263,24,,,,,,,,,,,,,,,,,
2,5,158,450,3,8,3286.801,121,0,,,,,,,,,,,,,,,,,
2,6,205,38,3,2,2084.937,245,0,,,,,,,,,,,,,,,,,
2,10,265,66,7,4,3003.254,343,2,,,,,,,,,,,,,,,,,
9,32,2937,189,12,1,1579.621,601,14,,,,,,,,,,,,,,,,,
5,10,613,53,3,2,1679.159,471,1,,,,,,,,,,,,,,,,,
6,14,1000,266,3,3,1893.011,90,30,,,,,,,,,,,,,,,,,
2,4,1660,14,1,1,166.3247,95,0,,,,,,,,,,,,,,,,,
7,7,1202,438,1,3,808.7536,196,5,,,,,,,,,,,,,,,,,
17,34,6664,217,2,5,328.7697,336,3,,,,,,,,,,,,,,,,,
6,35,2714,100,20,2,3738.348,335,2,,,,,,,,,,,,,,,,,
3,8,789,28,2,2,1276.921,487,2,,,,,,,,,,,,,,,,,
15,33,6241,577,2,9,124.0158,299,0,,,,,,,,,,,,,,,,,
28,159,29496,2519,8,14,574.5569,292,26,,,,,,,,,,,,,,,,,
5,6,327,90,1,2,748.2819,564,0,,,,,,,,,,,,,,,,,
0,2,30,32,1,2,1.773333,179,0,,,,,,,,,,,,,,,,,
0,2,30,33,1,2,0.691389,110,0,,,,,,,,,,,,,,,,,
27,89,17224,873,5,16,476.0275,235,29,,,,,,,,,,,,,,,,,
0,3,51,12,2,2,1311.247,322,0,,,,,,,,,,,,,,,,,
3,12,587,122,6,1,1276.098,244,11,,,,,,,,,,,,,,,,,
7,11,1185,142,1,1,2036.146,624,9,,,,,,,,,,,,,,,,,
14,185,79785,1609,40,13,2013.177,591,114,,,,,,,,,,,,,,,,,
1,3,65,96,1,3,146.7414,82,0,,,,,,,,,,,,,,,,,
3,13,738,737,5,2,556.4803,202,10,,,,,,,,,,,,,,,,,
2,7,299,163,4,2,554.2197,202,0,,,,,,,,,,,,,,,,,
5,9,2176,561,2,4,159.4639,279,0,,,,,,,,,,,,,,,,,
2,5,377,41,1,12,370.0847,83,0,,,,,,,,,,,,,,,,,
0,2,145,92,1,2,2.307222,552,0,,,,,,,,,,,,,,,,,
0,2,72,10,1,1,0.446111,214,0,,,,,,,,,,,,,,,,,
10,3,377,49,1,1,2.57,273,0,,,,,,,,,,,,,,,,,
10,3,198,45,1,1,1.826944,273,0,,,,,,,,,,,,,,,,,
3,44,2757,2567,11,16,891.0539,684,0,,,,,,,,,,,,,,,,,
11,4,893,19,1,1,69.36444,99,0,,,,,,,,,,,,,,,,,
3,9,260,454,6,10,809.6658,81,2,,,,,,,,,,,,,,,,,
6,51,4098,66,13,8,1943.429,426,0,,,,,,,,,,,,,,,,,
2,5,100,67,2,1,192.7053,172,0,,,,,,,,,,,,,,,,,
0,3,91,30,1,1,4.606944,129,0,,,,,,,,,,,,,,,,,
4,11,4152,79,2,1,401.8208,95,4,,,,,,,,,,,,,,,,,
2,8,1281,1654,3,1,69.30056,346,0,,,,,,,,,,,,,,,,,
2,4,721,1654,1,1,66.84056,430,0,,,,,,,,,,,,,,,,,
0,2,30,33,1,1,15.01806,182,0,,,,,,,,,,,,,,,,,
2,5,213,33,3,3,1163.023,459,0,,,,,,,,,,,,,,,,,
1,16,347,86,13,1,1403.982,75,0,,,,,,,,,,,,,,,,,
7,34,11569,961,5,1,533.1794,295,18,,,,,,,,,,,,,,,,,
6,18,1974,586,6,3,1054.406,746,8,,,,,,,,,,,,,,,,,
6,9,2582,955,1,6,256.0075,694,8,,,,,,,,,,,,,,,,,
7,9,586,289,3,2,1588.458,212,1,,,,,,,,,,,,,,,,,
7,12,4955,982,2,3,257.62,445,59,,,,,,,,,,,,,,,,,
4,4,252,739,1,6,68.52306,2007,12,,,,,,,,,,,,,,,,,
3,14,1000,369,4,7,660.3458,400,0,,,,,,,,,,,,,,,,,
4,4,927,147,1,1,164.7119,436,6,,,,,,,,,,,,,,,,,
0,1,22,58,1,2,0.012222,309,0,,,,,,,,,,,,,,,,,
9,24,8152,592,4,6,336.3444,933,28,,,,,,,,,,,,,,,,,
2,3,205,283,2,7,226.6881,95,8,,,,,,,,,,,,,,,,,
3,7,1053,542,4,13,198.6383,379,34,,,,,,,,,,,,,,,,,
2,3,189,20,2,1,144.2506,118,0,,,,,,,,,,,,,,,,,
7,29,2957,325,9,4,1002.286,305,23,,,,,,,,,,,,,,,,,
1,1,21,1017,2,17,327.6769,138,0,,,,,,,,,,,,,,,,,
0,1,43,542,1,13,0.049722,833,0,,,,,,,,,,,,,,,,,
2,2,51,490,1,7,3694.525,1903,0,,,,,,,,,,,,,,,,,
5,15,1360,6,8,2,936.9264,619,10,,,,,,,,,,,,,,,,,
8,77,25182,82,19,2,597.1344,449,44,,,,,,,,,,,,,,,,,
6,8,2557,290,2,5,207.2844,389,13,,,,,,,,,,,,,,,,,
1,3,501,167,1,3,16.39639,546,1,,,,,,,,,,,,,,,,,
1,5,146,21,3,1,26.78556,291,0,,,,,,,,,,,,,,,,,
1,3,1590,1036,1,4,2033.133,126,0,,,,,,,,,,,,,,,,,
2,6,557,62,3,6,123.4553,293,4,,,,,,,,,,,,,,,,,
0,2,30,45,1,2,136.9317,85,0,,,,,,,,,,,,,,,,,
1,5,123,66,3,2,10412.3,292,0,,,,,,,,,,,,,,,,,
4,5,569,88,2,2,44.09278,300,2,,,,,,,,,,,,,,,,,
2,1,29,2537,1,11,71.98972,103,0,,,,,,,,,,,,,,,,,
6,13,472,143,7,6,1043.466,493,2,,,,,,,,,,,,,,,,,
1,1,21,154,2,1,180.9964,339,0,,,,,,,,,,,,,,,,,
1,4,84,24,5,1,179.7092,83,0,,,,,,,,,,,,,,,,,
11,2,51,32,1,1,662.6881,241,0,,,,,,,,,,,,,,,,,
